Reading data file... Done.
After 13400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 13900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 14900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 15900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 16900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 17900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 18500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
